id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR001,BOBR,2020.0027322404371,1,-1391662.81320,5971556.63740,1750910.64130,47,940888.5376,1777625.3125,16.038931359577,103.118548741316,151.3938,179.8121
BOBR002,BOBR,2020.0054654295689,2,-1391662.82120,5971556.63100,1750910.64240,47,940888.5468,1777625.3150,16.038931380159,103.118548827694,151.3898,179.8082
BOBR003,BOBR,2020.0081967213114,3,-1391662.81240,5971556.62180,1750910.63800,47,940888.5403,1777625.3136,16.038931369303,103.118548767121,151.3781,179.7964
BOBR004,BOBR,2020.0109289617487,4,-1391662.80870,5971556.62670,1750910.63340,47,940888.5357,1777625.3080,16.038931319535,103.118548723057,151.3806,179.7989
BOBR005,BOBR,2020.0136612021859,5,-1391662.81040,5971556.63000,1750910.63670,47,940888.5366,1777625.3102,16.038931339207,103.118548731529,151.3850,179.8033
BOBR006,BOBR,2020.0163943913176,6,-1391662.81510,5971556.63250,1750910.63920,47,940888.5406,1777625.3117,16.038931352177,103.118548768999,151.3890,179.8074
BOBR007,BOBR,2020.01912568306,7,-1391662.81880,5971556.63070,1750910.63630,47,940888.5447,1777625.3093,16.038931329271,103.118548806489,151.3874,179.8057
BOBR008,BOBR,2020.0218579234972,8,-1391662.81120,5971556.63980,1750910.64200,47,940888.5351,1777625.3126,16.038931360954,103.118548718025,151.3958,179.8141
BOBR009,BOBR,2020.0245901639344,9,-1391662.81420,5971556.62770,1750910.63980,47,940888.5408,1777625.3137,16.038931369569,103.118548770989,151.3845,179.8028
BOBR010,BOBR,2020.0273224043715,10,-1391662.80530,5971556.63220,1750910.63770,47,940888.5311,1777625.3108,16.038931345433,103.118548680451,151.3862,179.8045
BOBR011,BOBR,2020.0300546448088,11,-1391662.81030,5971556.63940,1750910.63700,47,940888.5344,1777625.3079,16.038931319013,103.118548710683,151.3938,179.8122
BOBR012,BOBR,2020.032786885246,12,-1391662.81450,5971556.64270,1750910.64330,47,940888.5377,1777625.3129,16.038931363323,103.118548741906,151.3996,179.8179
BOBR013,BOBR,2020.0355200743777,13,-1391662.81290,5971556.63070,1750910.63800,47,940888.5389,1777625.3112,16.038931347379,103.118548752796,151.3865,179.8049
BOBR014,BOBR,2020.0382513661202,14,-1391662.80610,5971556.62760,1750910.63660,47,940888.5329,1777625.3110,16.038931346611,103.118548697487,151.3818,179.8001
BOBR015,BOBR,2020.0409836065573,15,-1391662.81920,5971556.63540,1750910.63970,47,940888.5439,1777625.3113,16.038931347145,103.118548800161,151.3928,179.8111
BOBR016,BOBR,2020.0437158469945,16,-1391662.81470,5971556.63310,1750910.64210,47,940888.5400,1777625.3144,16.038931376131,103.118548764087,151.3903,179.8086
BOBR017,BOBR,2020.0464480874316,17,-1391662.80490,5971556.64140,1750910.64210,47,940888.5286,1777625.3125,16.038931361502,103.118548657298,151.3959,179.8143
BOBR018,BOBR,2020.049180327869,18,-1391662.80880,5971556.63800,1750910.64290,47,940888.5331,1777625.3141,16.038931374507,103.118548700001,151.3938,179.8121
BOBR019,BOBR,2020.051912568306,19,-1391662.80680,5971556.64360,1750910.64480,47,940888.5299,1777625.3145,16.038931378525,103.118548669924,151.3992,179.8175
BOBR020,BOBR,2020.0546448087432,20,-1391662.80970,5971556.64290,1750910.64230,47,940888.5329,1777625.3121,16.038931356872,103.118548697800,151.3984,179.8168
BOBR021,BOBR,2020.0573770491803,21,-1391662.80480,5971556.63730,1750910.64170,47,940888.5294,1777625.3133,16.038931368054,103.118548665084,151.3920,179.8103
BOBR023,BOBR,2020.0628415300546,23,-1391662.81100,5971556.62340,1750910.63640,47,940888.5387,1777625.3117,16.038931352310,103.118548750987,151.3788,179.7972
BOBR024,BOBR,2020.0655747191863,24,-1391662.80990,5971556.64830,1750910.64210,47,940888.5319,1777625.3104,16.038931341891,103.118548688167,151.4035,179.8218
BOBR025,BOBR,2020.068306010929,25,-1391662.81220,5971556.65250,1750910.64320,47,940888.5332,1777625.3102,16.038931339928,103.118548700191,151.4082,179.8265
BOBR026,BOBR,2020.0710382513662,26,-1391662.80360,5971556.62370,1750910.63750,47,940888.5313,1777625.3130,16.038931365327,103.118548683007,151.3778,179.7961
BOBR027,BOBR,2020.0737704918033,27,-1391662.81830,5971556.64090,1750910.64280,47,940888.5418,1777625.3128,16.038931361204,103.118548780306,151.3986,179.8169
BOBR028,BOBR,2020.0765027322404,28,-1391662.81310,5971556.62140,1750910.63540,47,940888.5412,1777625.3112,16.038931347298,103.118548774340,151.3772,179.7955
BOBR029,BOBR,2020.0792349726776,29,-1391662.80360,5971556.62370,1750910.63550,47,940888.5314,1777625.3111,16.038931347958,103.118548683007,151.3773,179.7956
BOBR030,BOBR,2020.0819672131147,30,-1391662.79940,5971556.63850,1750910.64100,47,940888.5239,1777625.3125,16.038931362117,103.118548613396,151.3917,179.8100
BOBR031,BOBR,2020.0846994535518,31,-1391662.81040,5971556.64200,1750910.64380,47,940888.5338,1777625.3138,16.038931371691,103.118548706079,151.3982,179.8165
BOBR032,BOBR,2020.0874316939892,32,-1391662.80320,5971556.63580,1750910.63450,47,940888.5283,1777625.3068,16.038931310078,103.118548653704,151.3882,179.8065
BOBR033,BOBR,2020.0901639344263,33,-1391662.81080,5971556.63140,1750910.63990,47,940888.5366,1777625.3129,16.038931363368,103.118548732200,151.3873,179.8056
BOBR034,BOBR,2020.0928961748634,34,-1391662.81470,5971556.63260,1750910.63850,47,940888.5402,1777625.3111,16.038931346081,103.118548765147,151.3888,179.8072
BOBR035,BOBR,2020.0956284153006,35,-1391662.81240,5971556.63130,1750910.63840,47,940888.5382,1777625.3114,16.038931349677,103.118548746973,151.3871,179.8054
BOBR036,BOBR,2020.0983606557377,36,-1391662.80860,5971556.63920,1750910.64100,47,940888.5327,1777625.3119,16.038931355202,103.118548695636,151.3944,179.8127
BOBR037,BOBR,2020.1010928961748,37,-1391662.81810,5971556.64120,1750910.63860,47,940888.5416,1777625.3087,16.038931324112,103.118548777849,151.3977,179.8160
BOBR038,BOBR,2020.103825136612,38,-1391662.81250,5971556.64310,1750910.64200,47,940888.5356,1777625.3116,16.038931352193,103.118548722857,151.3992,179.8175
BOBR039,BOBR,2020.1065573770493,39,-1391662.82180,5971556.64060,1750910.64120,47,940888.5453,1777625.3112,16.038931346054,103.118548812794,151.3986,179.8169
BOBR040,BOBR,2020.1092896174864,40,-1391662.81770,5971556.63100,1750910.64190,47,940888.5434,1777625.3146,16.038931377800,103.118548795842,151.3889,179.8073
BOBR041,BOBR,2020.1120218579235,41,-1391662.79820,5971556.62060,1750910.63740,47,940888.5268,1777625.3140,16.038931375057,103.118548640439,151.3737,179.7920
BOBR042,BOBR,2020.1147540983607,42,-1391662.81490,5971556.64770,1750910.64140,47,940888.5370,1777625.3097,16.038931334437,103.118548734942,151.4038,179.8221
BOBR043,BOBR,2020.1174863387978,43,-1391662.81430,5971556.64620,1750910.64210,47,940888.5367,1777625.3108,16.038931344504,103.118548732663,151.4025,179.8208
BOBR044,BOBR,2020.120218579235,44,-1391662.81800,5971556.64100,1750910.64350,47,940888.5415,1777625.3134,16.038931367210,103.118548777364,151.3988,179.8171
BOBR045,BOBR,2020.122950819672,45,-1391662.81990,5971556.66410,1750910.64700,47,940888.5381,1777625.3104,16.038931340361,103.118548745663,151.4218,179.8401
BOBR047,BOBR,2020.1284153005465,47,-1391662.81960,5971556.63110,1750910.64520,47,940888.5452,1777625.3177,16.038931405140,103.118548812921,151.3904,179.8087
BOBR048,BOBR,2020.1311475409836,48,-1391662.81780,5971556.63950,1750910.64350,47,940888.5416,1777625.3138,16.038931370971,103.118548778725,151.3974,179.8157
BOBR049,BOBR,2020.1338797814208,49,-1391662.81570,5971556.63230,1750910.63860,47,940888.5412,1777625.3112,16.038931347112,103.118548774884,151.3888,179.8071
BOBR050,BOBR,2020.136612021858,50,-1391662.82200,5971556.64020,1750910.64160,47,940888.5456,1777625.3116,16.038931350387,103.118548815462,151.3984,179.8167
BOBR051,BOBR,2020.139344262295,51,-1391662.83190,5971556.63460,1750910.64320,47,940888.5565,1777625.3143,16.038931372290,103.118548917434,151.3958,179.8141
BOBR052,BOBR,2020.1420765027322,52,-1391662.82170,5971556.63550,1750910.64440,47,940888.5463,1777625.3156,16.038931386303,103.118548822700,151.3947,179.8130
BOBR053,BOBR,2020.1448087431695,53,-1391662.81880,5971556.63060,1750910.63780,47,940888.5446,1777625.3108,16.038931342542,103.118548806701,151.3877,179.8060
BOBR054,BOBR,2020.1475419323012,54,-1391662.81570,5971556.63240,1750910.63950,47,940888.5412,1777625.3120,16.038931354686,103.118548774672,151.3892,179.8075
BOBR055,BOBR,2020.1502732240438,55,-1391662.82370,5971556.63110,1750910.64150,47,940888.5493,1777625.3140,16.038931370683,103.118548850233,151.3902,179.8086
BOBR056,BOBR,2020.1530064131755,56,-1391662.81830,5971556.63820,1750910.64370,47,940888.5424,1777625.3144,16.038931375585,103.118548786032,151.3963,179.8146
BOBR057,BOBR,2020.155737704918,57,-1391662.83060,5971556.64070,1750910.64540,47,940888.5538,1777625.3148,16.038931377301,103.118548892666,151.4018,179.8201
BOBR058,BOBR,2020.1584699453551,58,-1391662.82470,5971556.63020,1750910.64210,47,940888.5504,1777625.3147,16.038931377515,103.118548861242,151.3898,179.8081
BOBR059,BOBR,2020.1612021857923,59,-1391662.83000,5971556.64060,1750910.64070,47,940888.5533,1777625.3103,16.038931337065,103.118548887418,151.4003,179.8186
BOBR061,BOBR,2020.1666666666667,61,-1391662.82720,5971556.63270,1750910.63790,47,940888.5524,1777625.3099,16.038931333544,103.118548878691,151.3915,179.8098
BOBR062,BOBR,2020.1693989071039,62,-1391662.82090,5971556.63650,1750910.64000,47,940888.5453,1777625.3112,16.038931346112,103.118548813299,151.3943,179.8126
BOBR063,BOBR,2020.172131147541,63,-1391662.82660,5971556.63500,1750910.63990,47,940888.5513,1777625.3112,16.038931345661,103.118548868353,151.3941,179.8124
BOBR064,BOBR,2020.1748633879781,64,-1391662.82620,5971556.65350,1750910.64500,47,940888.5467,1777625.3111,16.038931345196,103.118548825477,151.4127,179.8310
BOBR065,BOBR,2020.1775956284152,65,-1391662.83040,5971556.65500,1750910.64570,47,940888.5504,1777625.3112,16.038931345248,103.118548860518,151.4152,179.8335
BOBR066,BOBR,2020.1803278688524,66,-1391662.82220,5971556.65290,1750910.64640,47,940888.5429,1777625.3128,16.038931361080,103.118548790347,151.4117,179.8300
BOBR067,BOBR,2020.1830601092897,67,-1391662.82930,5971556.65140,1750910.64700,47,940888.5501,1777625.3135,16.038931365915,103.118548858142,151.4120,179.8303
BOBR068,BOBR,2020.1857923497269,68,-1391662.83560,5971556.66670,1750910.64690,47,940888.5529,1777625.3089,16.038931324274,103.118548883026,151.4276,179.8460
BOBR069,BOBR,2020.188524590164,69,-1391662.83180,5971556.64550,1750910.64290,47,940888.5539,1777625.3110,16.038931343237,103.118548893407,151.4059,179.8242
BOBR070,BOBR,2020.191256830601,70,-1391662.82860,5971556.64320,1750910.63960,47,940888.5514,1777625.3086,16.038931321983,103.118548869163,151.4021,179.8204
BOBR071,BOBR,2020.1939890710382,71,-1391662.81510,5971556.63000,1750910.63620,47,940888.5412,1777625.3095,16.038931332201,103.118548774302,151.3859,179.8042
BOBR072,BOBR,2020.1967213114754,72,-1391662.82410,5971556.64270,1750910.63980,47,940888.5471,1777625.3091,16.038931327486,103.118548829271,151.4007,179.8190
BOBR073,BOBR,2020.1994535519125,73,-1391662.82810,5971556.64580,1750910.64640,47,940888.5502,1777625.3145,16.038931375001,103.118548859099,151.4063,179.8246
BOBR074,BOBR,2020.2021857923498,74,-1391662.81300,5971556.61990,1750910.63340,47,940888.5414,1777625.3097,16.038931333633,103.118548776611,151.3752,179.7935
BOBR075,BOBR,2020.204918032787,75,-1391662.82790,5971556.63540,1750910.63810,47,940888.5525,1777625.3093,16.038931328319,103.118548879336,151.3942,179.8126
BOBR077,BOBR,2020.2103825136612,77,-1391662.82880,5971556.63580,1750910.64290,47,940888.5532,1777625.3138,16.038931368523,103.118548886678,151.3961,179.8145
