id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
JAHM001,JAHM,2020.0027322404371,1,-1003279.81870,5959660.18510,2032774.37310,47,558607.2028,2068529.8389,18.707275614401,99.555866838516,274.9589,312.2950
JAHM002,JAHM,2020.0054644808743,2,-1003279.86420,5959660.17790,2032774.37670,47,558607.2488,2068529.8423,18.707275643892,99.555867275226,274.9605,312.2966
JAHM003,JAHM,2020.0081967213114,3,-1003279.83160,5959660.18410,2032774.37160,47,558607.2157,2068529.8372,18.707275598219,99.555866960691,274.9595,312.2957
JAHM004,JAHM,2020.0109289617487,4,-1003279.80860,5959660.19690,2032774.37390,47,558607.1909,2068529.8365,18.707275592389,99.555866725519,274.9686,312.3047
JAHM005,JAHM,2020.0136612021859,5,-1003279.84650,5959660.18120,2032774.37390,47,558607.2308,2068529.8395,18.707275619018,99.555867104555,274.9599,312.2960
JAHM006,JAHM,2020.016393442623,6,-1003279.82520,5959660.20390,2032774.37850,47,558607.2061,2068529.8378,18.707275603764,99.555866869696,274.9792,312.3154
JAHM007,JAHM,2020.01912568306,7,-1003279.88040,5959660.18830,2032774.37640,47,558607.2631,2068529.8380,18.707275603817,99.555867410312,274.9726,312.3088
JAHM008,JAHM,2020.0218579234972,8,-1003279.86210,5959660.19310,2032774.37660,47,558607.2442,2068529.8375,18.707275600616,99.555867231671,274.9743,312.3105
JAHM009,JAHM,2020.0245901639344,9,-1003279.93460,5959660.16380,2032774.37710,47,558607.3206,2068529.8437,18.707275653739,99.555867955586,274.9585,312.2946
JAHM011,JAHM,2020.0300546448088,11,-1003279.89490,5959660.19780,2032774.37520,47,558607.2758,2068529.8331,18.707275559430,99.555867530920,274.9834,312.3196
JAHM019,JAHM,2020.051912568306,19,-1003279.88300,5959660.19090,2032774.37630,47,558607.2652,2068529.8369,18.707275594281,99.555867430527,274.9755,312.3116
JAHM021,JAHM,2020.0573770491803,21,-1003279.79460,5959660.20490,2032774.38170,47,558607.1757,2068529.8420,18.707275643007,99.555866582043,274.9764,312.3125
JAHM037,JAHM,2020.1010928961748,37,-1003279.81760,5959660.21580,2032774.38660,47,558607.1966,2068529.8421,18.707275642727,99.555866779914,274.9917,312.3279
JAHM039,JAHM,2020.1065573770493,39,-1003279.86980,5959660.18640,2032774.37830,47,558607.2529,2068529.8409,18.707275630602,99.555867314203,274.9698,312.3060
JAHM040,JAHM,2020.1092896174864,40,-1003279.79800,5959660.20800,2032774.38150,47,558607.1786,2068529.8407,18.707275630803,99.555866608950,274.9797,312.3159
JAHM041,JAHM,2020.1120218579235,41,-1003279.84120,5959660.19980,2032774.37770,47,558607.2225,2068529.8375,18.707275600937,99.555867025732,274.9776,312.3138
JAHM042,JAHM,2020.1147540983607,42,-1003279.87710,5959660.19620,2032774.38110,47,558607.2585,2068529.8401,18.707275623048,99.555867367027,274.9810,312.3172
JAHM043,JAHM,2020.1174863387978,43,-1003279.72740,5959660.22270,2032774.38430,47,558607.1065,2068529.8422,18.707275646719,99.555865925777,274.9833,312.3194
JAHM044,JAHM,2020.120218579235,44,-1003279.81770,5959660.22480,2032774.38760,47,558607.1952,2068529.8401,18.707275625520,99.555866766685,275.0005,312.3366
JAHM045,JAHM,2020.122950819672,45,-1003279.80570,5959660.20930,2032774.38130,47,558607.1860,2068529.8397,18.707275621673,99.555866678892,274.9821,312.3182
JAHM046,JAHM,2020.1256830601094,46,-1003279.74070,5959660.21330,2032774.38050,47,558607.1212,2068529.8409,18.707275634664,99.555866064912,274.9753,312.3115
JAHM049,JAHM,2020.1338797814208,49,-1003279.86180,5959660.19640,2032774.37760,47,558607.2434,2068529.8375,18.707275599888,99.555867223672,274.9777,312.3138
JAHM050,JAHM,2020.136612021858,50,-1003279.85930,5959660.21800,2032774.38340,47,558607.2374,2068529.8362,18.707275589001,99.555867166305,274.9993,312.3355
JAHM077,JAHM,2020.2103834623558,77,-1003279.84990,5959660.21850,2032774.38980,47,558607.2280,2068529.8426,18.707275646857,99.555867077637,275.0004,312.3365
JAHM079,JAHM,2020.21584794323,79,-1003279.82870,5959660.19630,2032774.37260,47,558607.2108,2068529.8344,18.707275573311,99.555866914378,274.9708,312.3069
JAHM080,JAHM,2020.2185801836672,80,-1003279.87860,5959660.22110,2032774.38890,47,558607.2559,2068529.8395,18.707275617922,99.555867341861,275.0070,312.3431
JAHM081,JAHM,2020.22131147541,81,-1003279.91860,5959660.19780,2032774.38400,47,558607.2992,2068529.8402,18.707275623329,99.555867752491,274.9900,312.3261
JAHM082,JAHM,2020.224043715847,82,-1003279.85090,5959660.21350,2032774.38650,47,558607.2298,2068529.8410,18.707275632426,99.555867094855,274.9948,312.3309
JAHM083,JAHM,2020.2267759562842,83,-1003279.87580,5959660.20370,2032774.37980,47,558607.2560,2068529.8365,18.707275591120,99.555867343069,274.9874,312.3235
JAHM087,JAHM,2020.2377058667273,87,-1003279.92520,5959660.18830,2032774.38140,47,558607.3072,2068529.8404,18.707275625051,99.555867829146,274.9813,312.3174
JAHM090,JAHM,2020.2459035367335,90,-1003279.90040,5959660.21100,2032774.38650,47,558607.2790,2068529.8393,18.707275615759,99.555867561565,275.0002,312.3364
JAHM097,JAHM,2020.2650273224044,97,-1003279.85020,5959660.21030,2032774.38370,47,558607.2297,2068529.8394,18.707275617947,99.555867093348,274.9908,312.3269
JAHM100,JAHM,2020.2732249924104,100,-1003279.93570,5959660.19520,2032774.37540,47,558607.3165,2068529.8320,18.707275548945,99.555867916451,274.9875,312.3236
JAHM101,JAHM,2020.2759572328475,101,-1003279.85720,5959660.21160,2032774.38290,47,558607.2363,2068529.8379,18.707275604020,99.555867156744,274.9928,312.3290
JAHM102,JAHM,2020.2786894732847,102,-1003279.89660,5959660.19590,2032774.38070,47,558607.2778,2068529.8388,18.707275611103,99.555867549804,274.9837,312.3198
JAHM114,JAHM,2020.3114763585306,114,-1003279.81500,5959660.22610,2032774.38680,47,558607.1923,2068529.8391,18.707275616259,99.555866739396,275.0010,312.3371
JAHM115,JAHM,2020.3142085989678,115,-1003279.81410,5959660.23800,2032774.38940,47,558607.1895,2068529.8378,18.707275604938,99.555866712253,275.0128,312.3490
JAHM124,JAHM,2020.3387987629023,124,-1003279.94260,5959660.20710,2032774.38570,47,558607.3213,2068529.8377,18.707275599758,99.555867962230,275.0030,312.3391
JAHM125,JAHM,2020.3415310033395,125,-1003279.92420,5959660.19330,2032774.38340,47,558607.3054,2068529.8408,18.707275628359,99.555867811928,274.9864,312.3226
JAHM126,JAHM,2020.3442632437766,126,-1003279.89580,5959660.20460,2032774.37650,47,558607.2756,2068529.8321,18.707275550691,99.555867528632,274.9903,312.3265
JAHM127,JAHM,2020.3469954842137,127,-1003279.97120,5959660.20390,2032774.38410,47,558607.3500,2068529.8358,18.707275581454,99.555868234647,275.0040,312.3401
JAHM128,JAHM,2020.3497277246508,128,-1003279.98120,5959660.20190,2032774.38170,47,558607.3602,2068529.8336,18.707275561822,99.555868331285,275.0029,312.3390
JAHM129,JAHM,2020.352459965088,129,-1003280.06520,5959660.14770,2032774.37240,47,558607.4520,2068529.8378,18.707275596705,99.555869201902,274.9625,312.2986
JAHM130,JAHM,2020.355192205525,130,-1003279.86080,5959660.22060,2032774.38440,47,558607.2384,2068529.8363,18.707275589408,99.555867176236,275.0023,312.3384
