id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
KOGD001,KOGD,2020.0027322404371,1,-1356671.06140,6098368.07980,1280387.74150,47,886290.0672,1291158.4278,11.658063013055,102.542041147687,36.0138,55.8536
KOGD002,KOGD,2020.0054644808743,2,-1356671.04060,6098368.08570,1280387.74240,47,886290.0455,1291158.4281,11.658063018754,102.542040949731,36.0152,55.8550
KOGD003,KOGD,2020.008197670006,3,-1356671.02160,6098368.08130,1280387.73860,47,886290.0279,1291158.4259,11.658063000494,102.542040788401,36.0062,55.8460
KOGD004,KOGD,2020.0109289617487,4,-1356671.03830,6098368.09710,1280387.74320,47,886290.0408,1291158.4267,11.658063006422,102.542040906437,36.0257,55.8655
KOGD005,KOGD,2020.0136612021859,5,-1356671.03680,6098368.08580,1280387.74140,47,886290.0418,1291158.4273,11.658063011230,102.542040915513,36.0143,55.8541
KOGD006,KOGD,2020.016393442623,6,-1356671.01970,6098368.10560,1280387.74270,47,886290.0208,1291158.4251,11.658062994217,102.542040722997,36.0298,55.8696
KOGD007,KOGD,2020.01912568306,7,-1356671.08370,6098368.08790,1280387.74300,47,886290.0872,1291158.4269,11.658063003046,102.542041331190,36.0266,55.8664
KOGD008,KOGD,2020.0218579234972,8,-1356671.02560,6098368.10720,1280387.74590,47,886290.0262,1291158.4277,11.658063017354,102.542040772629,36.0332,55.8730
KOGD009,KOGD,2020.0245901639344,9,-1356670.98500,6098368.10790,1280387.75120,47,886289.9863,1291158.4341,11.658063079135,102.542040407775,36.0263,55.8662
KOGD010,KOGD,2020.0273224043715,10,-1356671.01360,6098368.10030,1280387.74240,47,886290.0160,1291158.4261,11.658063003431,102.542040678944,36.0234,55.8632
KOGD011,KOGD,2020.0300546448088,11,-1356671.04820,6098368.10510,1280387.74240,47,886290.0488,1291158.4240,11.658062981147,102.542040979131,36.0353,55.8751
KOGD012,KOGD,2020.032786885246,12,-1356671.03680,6098368.09980,1280387.74610,47,886290.0387,1291158.4291,11.658063027877,102.542040887631,36.0286,55.8684
KOGD013,KOGD,2020.035519125683,13,-1356671.03690,6098368.12640,1280387.75430,47,886290.0330,1291158.4318,11.658063053005,102.542040835551,36.0557,55.8955
KOGD014,KOGD,2020.0382513661202,14,-1356671.02010,6098368.11110,1280387.75080,47,886290.0199,1291158.4319,11.658063055964,102.542040715625,36.0368,55.8766
KOGD015,KOGD,2020.0409836065573,15,-1356671.02750,6098368.10470,1280387.74510,47,886290.0286,1291158.4274,11.658063013976,102.542040794617,36.0311,55.8709
KOGD016,KOGD,2020.0437158469945,16,-1356671.03460,6098368.10530,1280387.75070,47,886290.0354,1291158.4325,11.658063059669,102.542040856983,36.0343,55.8741
KOGD017,KOGD,2020.0464480874316,17,-1356671.04600,6098368.10540,1280387.74770,47,886290.0465,1291158.4292,11.658063028408,102.542040958839,36.0362,55.8760
KOGD018,KOGD,2020.049180327869,18,-1356671.05580,6098368.09480,1280387.74570,47,886290.0584,1291158.4291,11.658063025715,102.542041067681,36.0278,55.8676
KOGD019,KOGD,2020.0519135170007,19,-1356671.07850,6098368.10170,1280387.74520,47,886290.0791,1291158.4265,11.658062999980,102.542041257155,36.0391,55.8789
KOGD020,KOGD,2020.0546448087432,20,-1356671.01510,6098368.11010,1280387.74950,47,886290.0153,1291158.4310,11.658063048221,102.542040672855,36.0345,55.8743
KOGD021,KOGD,2020.0573770491803,21,-1356671.02040,6098368.11090,1280387.74760,47,886290.0203,1291158.4288,11.658063027871,102.542040718709,36.0360,55.8758
KOGD022,KOGD,2020.0601092896175,22,-1356671.01860,6098368.11260,1280387.74400,47,886290.0182,1291158.4250,11.658062993681,102.542040699209,36.0365,55.8763
KOGD023,KOGD,2020.0628415300546,23,-1356671.04210,6098368.11430,1280387.74970,47,886290.0408,1291158.4295,11.658063031792,102.542040906200,36.0443,55.8841
KOGD024,KOGD,2020.0655737704917,24,-1356671.02680,6098368.11170,1280387.74670,47,886290.0264,1291158.4276,11.658063015937,102.542040774410,36.0380,55.8778
KOGD025,KOGD,2020.068306010929,25,-1356671.03350,6098368.12080,1280387.75020,47,886290.0310,1291158.4290,11.658063028040,102.542040816266,36.0488,55.8886
KOGD026,KOGD,2020.0710382513662,26,-1356671.02960,6098368.11080,1280387.74490,47,886290.0294,1291158.4259,11.658063000495,102.542040801268,36.0373,55.8771
KOGD027,KOGD,2020.0737704918033,27,-1356671.04120,6098368.10340,1280387.74810,47,886290.0422,1291158.4302,11.658063037420,102.542040919851,36.0334,55.8732
KOGD028,KOGD,2020.0765027322404,28,-1356671.02520,6098368.10520,1280387.74480,47,886290.0263,1291158.4271,11.658063011341,102.542040773031,36.0310,55.8708
KOGD029,KOGD,2020.0792349726776,29,-1356671.05000,6098368.10790,1280387.74640,47,886290.0499,1291158.4273,11.658063010854,102.542040989669,36.0392,55.8790
KOGD030,KOGD,2020.0819672131147,30,-1356671.00480,6098368.11810,1280387.74960,47,886290.0035,1291158.4298,11.658063038927,102.542040564715,36.0400,55.8798
KOGD031,KOGD,2020.0846994535518,31,-1356671.11100,6098368.07930,1280387.74070,47,886290.1158,1291158.4255,11.658062987189,102.542041592712,36.0237,55.8635
KOGD032,KOGD,2020.0874316939892,32,-1356671.10470,6098368.08790,1280387.73840,47,886290.1078,1291158.4217,11.658062953990,102.542041519186,36.0301,55.8699
KOGD033,KOGD,2020.0901639344263,33,-1356671.02240,6098368.09370,1280387.74440,47,886290.0260,1291158.4291,11.658063029416,102.542040770868,36.0193,55.8592
KOGD034,KOGD,2020.0928961748634,34,-1356671.03120,6098368.08870,1280387.74290,47,886290.0357,1291158.4283,11.658063021560,102.542040859605,36.0161,55.8559
KOGD035,KOGD,2020.0956293639952,35,-1356671.07020,6098368.08890,1280387.74200,47,886290.0738,1291158.4262,11.658062997765,102.542041208343,36.0244,55.8643
KOGD036,KOGD,2020.0983606557377,36,-1356671.01550,6098368.09270,1280387.74620,47,886290.0194,1291158.4313,11.658063049872,102.542040711089,36.0173,55.8571
KOGD037,KOGD,2020.1010928961748,37,-1356670.93440,6098368.12860,1280387.74810,47,886289.9324,1291158.4285,11.658063034851,102.542039913568,36.0347,55.8746
KOGD038,KOGD,2020.103825136612,38,-1356671.09470,6098368.07730,1280387.74500,47,886290.1002,1291158.4307,11.658063035291,102.542041450774,36.0192,55.8590
KOGD039,KOGD,2020.1066674256224,39,-1356670.99400,6098368.10590,1280387.74820,47,886289.9955,1291158.4313,11.658063052571,102.542040492328,36.0257,55.8656
KOGD040,KOGD,2020.109290566181,40,-1356671.08870,6098368.08840,1280387.74460,47,886290.0920,1291158.4282,11.658063014337,102.542041374955,36.0284,55.8682
KOGD041,KOGD,2020.1120218579235,41,-1356671.10360,6098368.08710,1280387.74250,47,886290.1068,1291158.4260,11.658062992152,102.542041510932,36.0299,55.8697
KOGD042,KOGD,2020.1147540983607,42,-1356671.04950,6098368.09950,1280387.74420,47,886290.0513,1291158.4269,11.658063006553,102.542041001922,36.0306,55.8704
