id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
LSN1167,LSN1,2020.4567215012144,167,-1088138.32800,6196941.13870,1042730.30960,47,605293.6999,1047220.4984,9.472357991623,99.959198592466,8.4005,31.4991
LSN1168,LSN1,2020.4590173421373,168,-1088138.35890,6196941.14830,1042730.31260,47,605293.7287,1047220.4990,9.472357996356,99.959198854497,8.4156,31.5142
LSN1169,LSN1,2020.4617495825744,169,-1088138.32500,6196941.14490,1042730.31410,47,605293.6959,1047220.5019,9.472358023440,99.959198555793,8.4068,31.5053
LSN1170,LSN1,2020.4644818230115,170,-1088138.34670,6196941.14030,1042730.30820,47,605293.7181,1047220.4963,9.472357971981,99.959198757671,8.4050,31.5036
LSN1171,LSN1,2020.467213114754,171,-1088138.35640,6196941.15130,1042730.30820,47,605293.7257,1047220.4942,9.472357953364,99.959198827349,8.4174,31.5160
LSN1172,LSN1,2020.4699463038858,172,-1088138.35360,6196941.14880,1042730.31460,47,605293.7234,1047220.5010,9.472358014823,99.959198806172,8.4155,31.5141
LSN1173,LSN1,2020.4726785443231,173,-1088138.33290,6196941.16510,1042730.31630,47,605293.7002,1047220.5006,9.472358011423,99.959198594837,8.4281,31.5267
LSN1174,LSN1,2020.4754107847602,174,-1088138.35450,6196941.14180,1042730.31360,47,605293.7255,1047220.5011,9.472358015932,99.959198825269,8.4087,31.5073
LSN1175,LSN1,2020.4781430251974,175,-1088138.33750,6196941.15280,1042730.31150,47,605293.7069,1047220.4977,9.472357985459,99.959198655467,8.4161,31.5147
LSN1176,LSN1,2020.4808752656345,176,-1088138.31590,6196941.14400,1042730.31420,47,605293.6871,1047220.5024,9.472358027992,99.959198475590,8.4044,31.5029
LSN1177,LSN1,2020.483606557377,177,-1088138.37170,6196941.15710,1042730.31280,47,605293.7398,1047220.4974,9.472357981950,99.959198955444,8.4264,31.5250
LSN1178,LSN1,2020.4863397465087,178,-1088138.35230,6196941.14570,1042730.31460,47,605293.7226,1047220.5016,9.472358019701,99.959198799394,8.4123,31.5109
LSN1179,LSN1,2020.4890719869459,179,-1088138.35310,6196941.12390,1042730.30540,47,605293.7272,1047220.4960,9.472357969398,99.959198840903,8.3897,31.4883
LSN1181,LSN1,2020.495209092289,181,-1088138.32440,6196941.14460,1042730.31200,47,605293.6954,1047220.4999,9.472358005306,99.959198550884,8.4060,31.5046
LSN1182,LSN1,2020.4972687082575,182,-1088138.33620,6196941.14310,1042730.30630,47,605293.7073,1047220.4942,9.472357953635,99.959198659084,8.4056,31.5042
LSN1183,LSN1,2020.5,183,-1088138.37600,6196941.14140,1042730.31220,47,605293.7467,1047220.4993,9.472357998501,99.959199018738,8.4117,31.5103
LSN1184,LSN1,2020.5027331891317,184,-1088138.35270,6196941.13710,1042730.30930,47,605293.7245,1047220.4977,9.472357984936,99.959198816527,8.4031,31.5017
LSN1185,LSN1,2020.5054654295689,185,-1088138.32830,6196941.14500,1042730.31080,47,605293.6991,1047220.4985,9.472357993015,99.959198585234,8.4069,31.5055
LSN1186,LSN1,2020.508197670006,186,-1088138.34920,6196941.15560,1042730.31100,47,605293.7179,1047220.4965,9.472357973886,99.959198755998,8.4208,31.5194
LSN1187,LSN1,2020.5109289617487,187,-1088138.35960,6196941.14530,1042730.30710,47,605293.7299,1047220.4940,9.472357951524,99.959198865500,8.4119,31.5105
LSN1188,LSN1,2020.5136621508805,188,-1088138.33040,6196941.13120,1042730.30720,47,605293.7036,1047220.4972,9.472357980594,99.959198625804,8.3932,31.4918
LSN1189,LSN1,2020.5163943913176,189,-1088138.33250,6196941.13430,1042730.30690,47,605293.7051,1047220.4963,9.472357972835,99.959198639757,8.3966,31.4951
LSN1190,LSN1,2020.5191266317547,190,-1088138.33970,6196941.14790,1042730.31140,47,605293.7099,1047220.4984,9.472357991182,99.959198682917,8.4117,31.5103
LSN1191,LSN1,2020.5218588721918,191,-1088138.34230,6196941.14680,1042730.30950,47,605293.7126,1047220.4966,9.472357975181,99.959198707969,8.4108,31.5094
LSN1192,LSN1,2020.524591112629,192,-1088138.33210,6196941.15020,1042730.31180,47,605293.7020,1047220.4986,9.472357993334,99.959198611128,8.4127,31.5113
LSN1193,LSN1,2020.5273224043715,193,-1088138.33450,6196941.14280,1042730.30340,47,605293.7057,1047220.4914,9.472357928650,99.959198644309,8.4046,31.5032
LSN1194,LSN1,2020.5300555935034,194,-1088138.33830,6196941.15130,1042730.31130,47,605293.7079,1047220.4978,9.472357985668,99.959198665005,8.4148,31.5134
LSN1195,LSN1,2020.532786885246,195,-1088138.34250,6196941.15200,1042730.31510,47,605293.7119,1047220.5013,9.472358017449,99.959198701573,8.4168,31.5154
