id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
NKBI167,NKBI,2020.4567215012144,167,-1004107.41830,6237146.65180,874718.75780,47,516034.1297,877174.7563,7.935542138885,99.145478432095,-8.7803,12.5330
NKBI168,NKBI,2020.4590173421373,168,-1004107.42780,6237146.65000,874718.75590,47,516034.1394,877174.7545,7.935542122204,99.145478519755,-8.7808,12.5325
NKBI169,NKBI,2020.4617495825744,169,-1004107.42520,6237146.65000,874718.75180,47,516034.1368,877174.7505,7.935542086002,99.145478496474,-8.7818,12.5315
NKBI170,NKBI,2020.4644818230115,170,-1004107.43300,6237146.65020,874718.75510,47,516034.1445,877174.7535,7.935542113761,99.145478566028,-8.7799,12.5334
NKBI171,NKBI,2020.4672140634486,171,-1004107.42780,6237146.65750,874718.75630,47,516034.1382,877174.7538,7.935542116542,99.145478508943,-8.7735,12.5399
NKBI172,NKBI,2020.4699463038858,172,-1004107.42180,6237146.65370,874718.75520,47,516034.1328,877174.7534,7.935542112565,99.145478460696,-8.7783,12.5351
NKBI173,NKBI,2020.4726785443231,173,-1004107.43330,6237146.65200,874718.75380,47,516034.1445,877174.7520,7.935542099841,99.145478566119,-8.7783,12.5350
NKBI174,NKBI,2020.4754107847602,174,-1004107.43380,6237146.64310,874718.75570,47,516034.1464,877174.7551,7.935542127726,99.145478583426,-8.7867,12.5267
NKBI175,NKBI,2020.4781430251974,175,-1004107.43080,6237146.65000,874718.75490,47,516034.1423,877174.7534,7.935542112653,99.145478546617,-8.7805,12.5328
NKBI176,NKBI,2020.4808752656345,176,-1004107.43510,6237146.64840,874718.75670,47,516034.1468,877174.7553,7.935542129891,99.145478587426,-8.7812,12.5322
NKBI177,NKBI,2020.483606557377,177,-1004107.37610,6237146.67340,874718.75930,47,516034.0846,877174.7558,7.935542134070,99.145478023094,-8.7656,12.5477
NKBI178,NKBI,2020.4863397465087,178,-1004107.42320,6237146.64120,874718.75510,47,516034.1362,877174.7550,7.935542126798,99.145478491251,-8.7903,12.5231
NKBI179,NKBI,2020.4890719869459,179,-1004107.45640,6237146.60890,874718.74760,47,516034.1741,877174.7512,7.935542092853,99.145478835089,-8.8177,12.4957
NKBI181,NKBI,2020.4952100409837,181,-1004107.42300,6237146.65190,874718.75680,47,516034.1343,877174.7552,7.935542128874,99.145478474036,-8.7796,12.5337
NKBI182,NKBI,2020.4972677595629,182,-1004107.41090,6237146.64550,874718.74780,47,516034.1234,877174.7474,7.935542058564,99.145478374916,-8.7890,12.5243
NKBI183,NKBI,2020.5,183,-1004107.42980,6237146.63860,874718.75290,47,516034.1431,877174.7530,7.935542108991,99.145478554096,-8.7921,12.5213
NKBI184,NKBI,2020.5027331891317,184,-1004107.42640,6237146.65700,874718.75590,47,516034.1369,877174.7535,7.935542113854,99.145478497128,-8.7742,12.5391
NKBI185,NKBI,2020.5054654295689,185,-1004107.42010,6237146.63210,874718.75000,47,516034.1346,877174.7512,7.935542092956,99.145478476611,-8.8004,12.5130
NKBI186,NKBI,2020.508197670006,186,-1004107.42540,6237146.64120,874718.75030,47,516034.1384,877174.7502,7.935542083375,99.145478510950,-8.7906,12.5228
NKBI187,NKBI,2020.5109299104433,187,-1004107.42550,6237146.66730,874718.74920,47,516034.1343,877174.7455,7.935542041337,99.145478474222,-8.7652,12.5481
NKBI188,NKBI,2020.5136621508805,188,-1004107.42950,6237146.65050,874718.75440,47,516034.1410,877174.7529,7.935542107817,99.145478534256,-8.7803,12.5331
NKBI189,NKBI,2020.5163943913176,189,-1004107.41980,6237146.63870,874718.74990,47,516034.1333,877174.7502,7.935542083985,99.145478464410,-8.7940,12.5194
NKBI190,NKBI,2020.5191266317547,190,-1004107.43950,6237146.64400,874718.75330,47,516034.1519,877174.7525,7.935542103993,99.145478633167,-8.7852,12.5281
NKBI191,NKBI,2020.5218588721918,191,-1004107.41930,6237146.64650,874718.74980,47,516034.1315,877174.7491,7.935542073576,99.145478448690,-8.7865,12.5269
NKBI192,NKBI,2020.524591112629,192,-1004107.41720,6237146.64010,874718.75140,47,516034.1305,877174.7516,7.935542096209,99.145478439111,-8.7928,12.5205
NKBI193,NKBI,2020.5273224043715,193,-1004107.44070,6237146.64200,874718.75290,47,516034.1534,877174.7523,7.935542102638,99.145478646795,-8.7871,12.5263
NKBI194,NKBI,2020.5300555935034,194,-1004107.39710,6237146.67080,874718.75550,47,516034.1058,877174.7519,7.935542099078,99.145478214879,-8.7654,12.5480
NKBI195,NKBI,2020.532786885246,195,-1004107.42310,6237146.65110,874718.75630,47,516034.1345,877174.7548,7.935542125363,99.145478476084,-8.7805,12.5329
NKBI196,NKBI,2020.5355200743777,196,-1004107.48390,6237146.65180,874718.75490,47,516034.1944,877174.7520,7.935542099899,99.145479019488,-8.7704,12.5430
NKBI197,NKBI,2020.5382513661202,197,-1004107.41520,6237146.64750,874718.75310,47,516034.1273,877174.7523,7.935542102710,99.145478410536,-8.7857,12.5277
NKBI198,NKBI,2020.540984555252,198,-1004107.42780,6237146.65120,874718.75270,47,516034.1392,877174.7511,7.935542092067,99.145478518025,-8.7801,12.5332
NKBI199,NKBI,2020.543716795689,199,-1004107.42350,6237146.65040,874718.75490,47,516034.1351,877174.7535,7.935542113608,99.145478480675,-8.7813,12.5321
NKBI200,NKBI,2020.5464490361262,200,-1004107.40310,6237146.64010,874718.75150,47,516034.1166,877174.7520,7.935542099902,99.145478312858,-8.7950,12.5183
NKBI201,NKBI,2020.5491812765636,201,-1004107.37820,6237146.65220,874718.74530,47,516034.0901,877174.7447,7.935542034406,99.145478072457,-8.7880,12.5254
NKBI202,NKBI,2020.5519182604735,202,-1004107.41000,6237146.63340,874718.75220,47,516034.1244,877174.7534,7.935542113059,99.145478384300,-8.8004,12.5130
NKBI203,NKBI,2020.5546457574378,203,-1004107.36780,6237146.71930,874718.71990,47,516034.0691,877174.7107,7.935541726305,99.145477882609,-8.7275,12.5859
NKBI204,NKBI,2020.5588105267152,204,-1004107.41570,6237146.64760,874718.74940,47,516034.1278,877174.7486,7.935542069352,99.145478414869,-8.7860,12.5274
NKBI205,NKBI,2020.5601092896175,205,-1004107.40660,6237146.63640,874718.75170,47,516034.1206,877174.7526,7.935542105559,99.145478349531,-8.7981,12.5153
NKBI207,NKBI,2020.5655747191863,207,-1004107.41240,6237146.63760,874718.74910,47,516034.1261,877174.7498,7.935542079645,99.145478399735,-8.7963,12.5170
NKBI208,NKBI,2020.5683069596237,208,-1004107.39290,6237146.63840,874718.74770,47,516034.1068,877174.7487,7.935542069990,99.145478223976,-8.7988,12.5145
NKBI209,NKBI,2020.5710392000608,209,-1004107.39300,6237146.67400,874718.75100,47,516034.1012,877174.7471,7.935542055648,99.145478173554,-8.7635,12.5498
NKBI210,NKBI,2020.573771440498,210,-1004107.39200,6237146.65260,874718.73920,47,516034.1036,877174.7383,7.935541976547,99.145478195448,-8.7862,12.5271
NKBI211,NKBI,2020.576503680935,211,-1004107.39730,6237146.67980,874718.74670,47,516034.1045,877174.7420,7.935542009138,99.145478203696,-8.7578,12.5556
NKBI215,NKBI,2020.5879316560413,215,-1004107.39330,6237146.63690,874718.74900,47,516034.1074,877174.7502,7.935542083402,99.145478229720,-8.8000,12.5133
NKBI216,NKBI,2020.590164883121,216,-1004107.42240,6237146.66810,874718.75510,47,516034.1312,877174.7513,7.935542093803,99.145478445311,-8.7641,12.5492
NKBI217,NKBI,2020.5928961748634,217,-1004107.40910,6237146.65870,874718.75070,47,516034.1195,877174.7485,7.935542068623,99.145478339771,-8.7760,12.5374
NKBI218,NKBI,2020.5956284153006,218,-1004107.39010,6237146.67340,874718.74750,47,516034.0984,877174.7438,7.935542025619,99.145478148452,-8.7651,12.5483
NKBI219,NKBI,2020.5983616044323,219,-1004107.40500,6237146.65840,874718.75290,47,516034.1155,877174.7508,7.935542089509,99.145478303491,-8.7766,12.5367
NKBI220,NKBI,2020.6010928961748,220,-1004107.40940,6237146.64560,874718.74760,47,516034.1219,877174.7472,7.935542056947,99.145478361341,-8.7892,12.5242
NKBI221,NKBI,2020.603825136612,221,-1004107.41030,6237146.66780,874718.75560,47,516034.1193,877174.7521,7.935542101051,99.145478337398,-8.7662,12.5471
