id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PJRK001,PJRK,2020.0027331891317,1,-1062387.58880,6152905.20800,1297009.25730,47,586752.2181,1305846.2378,11.811617665360,99.796349772420,-11.8581,16.7892
PJRK002,PJRK,2020.0054654295689,2,-1062387.59300,6152905.20460,1297009.25840,47,586752.2228,1305846.2395,11.811617679971,99.796349815706,-11.8604,16.7869
PJRK003,PJRK,2020.008197670006,3,-1062387.58820,6152905.21350,1297009.25780,47,586752.2166,1305846.2372,11.811617659944,99.796349758407,-11.8528,16.7945
PJRK004,PJRK,2020.0109299104433,4,-1062387.59170,6152905.20570,1297009.25630,47,586752.2213,1305846.2372,11.811617659793,99.796349802234,-11.8600,16.7873
PJRK005,PJRK,2020.0136621508805,5,-1062387.57970,6152905.19960,1297009.25600,47,586752.2106,1305846.2386,11.811617672039,99.796349703249,-11.8680,16.7793
PJRK006,PJRK,2020.0163943913176,6,-1062387.58470,6152905.21990,1297009.26050,47,586752.2120,1305846.2387,11.811617673267,99.796349716766,-11.8466,16.8007
PJRK007,PJRK,2020.0191266317547,7,-1062387.59180,6152905.21690,1297009.25920,47,586752.2195,1305846.2378,11.811617664999,99.796349785651,-11.8486,16.7987
PJRK008,PJRK,2020.0218588721918,8,-1062387.59400,6152905.23140,1297009.26260,47,586752.2192,1305846.2381,11.811617667952,99.796349782906,-11.8335,16.8138
PJRK009,PJRK,2020.024591112629,9,-1062387.58510,6152905.21950,1297009.26230,47,586752.2125,1305846.2405,11.811617689798,99.796349721008,-11.8466,16.8007
PJRK010,PJRK,2020.027323353066,10,-1062387.58650,6152905.21900,1297009.26380,47,586752.2139,1305846.2421,11.811617703542,99.796349734448,-11.8465,16.8008
PJRK011,PJRK,2020.0300555935034,11,-1062387.58760,6152905.23490,1297009.26090,47,586752.2123,1305846.2360,11.811617648542,99.796349719570,-11.8316,16.8157
PJRK012,PJRK,2020.0327878339406,12,-1062387.58530,6152905.21150,1297009.26000,47,586752.2140,1305846.2399,11.811617683971,99.796349735307,-11.8547,16.7926
PJRK013,PJRK,2020.0355200743777,13,-1062387.73910,6152905.17200,1297009.25530,47,586752.3723,1305846.2384,11.811617665986,99.796351187700,-11.8682,16.7791
PJRK014,PJRK,2020.0382523148148,14,-1062387.59340,6152905.21440,1297009.26190,47,586752.2215,1305846.2409,11.811617692945,99.796349804022,-11.8502,16.7971
PJRK015,PJRK,2020.0418611490588,15,-1062387.59170,6152905.21650,1297009.25570,47,586752.2195,1305846.2345,11.811617634790,99.796349785371,-11.8497,16.7976
PJRK016,PJRK,2020.043716795689,16,-1062387.60090,6152905.20610,1297009.26090,47,586752.2303,1305846.2414,11.811617696870,99.796349884799,-11.8572,16.7902
PJRK020,PJRK,2020.0549066484518,20,-1062387.59540,6152905.22130,1297009.26090,47,586752.2223,1305846.2385,11.811617670885,99.796349811334,-11.8434,16.8039
PJRK021,PJRK,2020.0589651639343,21,-1062387.59500,6152905.24070,1297009.26300,47,586752.2186,1305846.2366,11.811617654218,99.796349777428,-11.8243,16.8230
PJRK022,PJRK,2020.060110238312,22,-1062387.59650,6152905.21890,1297009.25780,47,586752.2238,1305846.2359,11.811617647485,99.796349825028,-11.8462,16.8011
PJRK023,PJRK,2020.0628424787492,23,-1062387.59960,6152905.20520,1297009.26030,47,586752.2292,1305846.2410,11.811617693611,99.796349874449,-11.8584,16.7889
PJRK024,PJRK,2020.0658555327868,24,-1062387.59230,6152905.23240,1297009.26020,47,586752.2174,1305846.2356,11.811617645427,99.796349765972,-11.8334,16.8139
PJRK025,PJRK,2020.068306010929,25,-1062387.58990,6152905.22840,1297009.26010,47,586752.2157,1305846.2364,11.811617652591,99.796349750516,-11.8376,16.8097
PJRK026,PJRK,2020.0710382513662,26,-1062387.60170,6152905.22690,1297009.26480,47,586752.2276,1305846.2409,11.811617693199,99.796349859558,-11.8362,16.8111
PJRK027,PJRK,2020.0742723512446,27,-1062387.74740,6152905.05680,1297009.37340,47,586752.3997,1305846.3769,11.811618918440,99.796351442614,-11.9537,16.6936
PJRK029,PJRK,2020.0797984972678,29,-1062387.60570,6152905.22350,1297009.25940,47,586752.2321,1305846.2362,11.811617650358,99.796349901036,-11.8399,16.8074
PJRK030,PJRK,2020.0819672131147,30,-1062387.58990,6152905.21470,1297009.26340,47,586752.2180,1305846.2424,11.811617706773,99.796349771905,-11.8502,16.7971
PJRK035,PJRK,2020.0961179417122,35,-1062387.59280,6152905.21040,1297009.25400,47,586752.2216,1305846.2340,11.811617630525,99.796349804842,-11.8558,16.7915
PJRK036,PJRK,2020.0983606557377,36,-1062387.58910,6152905.21040,1297009.26020,47,586752.2180,1305846.2402,11.811617686550,99.796349771385,-11.8551,16.7922
PJRK037,PJRK,2020.1010928961748,37,-1062387.59960,6152905.21850,1297009.25850,47,586752.2270,1305846.2366,11.811617653432,99.796349853684,-11.8459,16.8014
PJRK038,PJRK,2020.1038260853065,38,-1062387.59300,6152905.22100,1297009.26140,47,586752.2200,1305846.2391,11.811617676612,99.796349790101,-11.8440,16.8033
PJRK039,PJRK,2020.1065573770493,39,-1062387.59270,6152905.21360,1297009.26050,47,586752.2210,1305846.2397,11.811617682236,99.796349798942,-11.8514,16.7959
PJRK040,PJRK,2020.1092896174864,40,-1062387.59010,6152905.20800,1297009.25970,47,586752.2194,1305846.2402,11.811617686187,99.796349784175,-11.8574,16.7899
PJRK041,PJRK,2020.1120218579235,41,-1062387.59640,6152905.21350,1297009.26140,47,586752.2246,1305846.2405,11.811617689217,99.796349832555,-11.8507,16.7966
PJRK042,PJRK,2020.1147540983607,42,-1062387.59780,6152905.22550,1297009.26170,47,586752.2240,1305846.2383,11.811617669550,99.796349826478,-11.8388,16.8085
PJRK043,PJRK,2020.1174872874924,43,-1062387.59590,6152905.19960,1297009.25270,47,586752.2265,1305846.2348,11.811617637739,99.796349849736,-11.8659,16.7814
PJRK044,PJRK,2020.1202195279295,44,-1062387.59330,6152905.22520,1297009.25930,47,586752.2196,1305846.2362,11.811617650277,99.796349786256,-11.8403,16.8070
PJRK045,PJRK,2020.122950819672,45,-1062387.63940,6152905.23350,1297009.26470,47,586752.2636,1305846.2383,11.811617668410,99.796350190152,-11.8235,16.8238
