id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
PKET001,PKET,2020.0027322404371,1,-922365.12180,6250473.40390,869690.38760,47,433244.0803,872144.4503,7.889627402606,98.394397627817,0.1932,24.7921
PKET002,PKET,2020.0054654295689,2,-922365.13030,6250473.40660,869690.38980,47,433244.0883,872144.4519,7.889627417455,98.394397700498,0.1974,24.7963
PKET003,PKET,2020.008197670006,3,-922365.13320,6250473.39540,869690.39000,47,433244.0928,872144.4535,7.889627432473,98.394397741342,0.1869,24.7857
PKET004,PKET,2020.0109289617487,4,-922365.13060,6250473.38660,869690.38330,47,433244.0915,872144.4482,7.889627383741,98.394397729667,0.1770,24.7758
PKET005,PKET,2020.0136621508805,5,-922365.12290,6250473.40950,869690.39080,47,433244.0806,872144.4526,7.889627424191,98.394397630271,0.1993,24.7982
PKET006,PKET,2020.016393442623,6,-922365.12890,6250473.41410,869690.39300,47,433244.0858,872144.4541,7.889627437160,98.394397678009,0.2050,24.8038
PKET007,PKET,2020.01912568306,7,-922365.12340,6250473.39660,869690.38820,47,433244.0829,872144.4518,7.889627416654,98.394397651835,0.1864,24.7852
PKET008,PKET,2020.0218579234972,8,-922365.11590,6250473.41250,869690.39000,47,433244.0732,872144.4516,7.889627414611,98.394397563501,0.2012,24.8000
PKET009,PKET,2020.0245901639344,9,-922365.11070,6250473.39900,869690.38760,47,433244.0700,872144.4512,7.889627410634,98.394397534723,0.1868,24.7857
PKET010,PKET,2020.0273224043715,10,-922365.11590,6250473.41580,869690.39490,47,433244.0727,872144.4560,7.889627454446,98.394397559132,0.2051,24.8039
PKET011,PKET,2020.0300546448088,11,-922365.11870,6250473.41370,869690.39020,47,433244.0758,872144.4516,7.889627414422,98.394397587032,0.2028,24.8016
PKET012,PKET,2020.032786885246,12,-922365.11790,6250473.39640,869690.39180,47,433244.0775,872144.4555,7.889627450139,98.394397602758,0.1859,24.7847
PKET013,PKET,2020.035519125683,13,-922365.11910,6250473.41120,869690.38990,47,433244.0766,872144.4516,7.889627414732,98.394397593930,0.2003,24.7992
PKET014,PKET,2020.0382523148148,14,-922365.11520,6250473.42270,869690.39200,47,433244.0710,872144.4522,7.889627420127,98.394397543718,0.2113,24.8102
PKET015,PKET,2020.040984555252,15,-922365.11580,6250473.41780,869690.39100,47,433244.0723,872144.4519,7.889627417078,98.394397555587,0.2065,24.8053
PKET016,PKET,2020.043716795689,16,-922365.12350,6250473.41420,869690.39440,47,433244.0805,872144.4556,7.889627450555,98.394397629432,0.2045,24.8034
PKET017,PKET,2020.0464490361262,17,-922365.11090,6250473.42000,869690.39280,47,433244.0672,872144.4535,7.889627431386,98.394397508716,0.2082,24.8070
PKET018,PKET,2020.049180327869,18,-922365.11010,6250473.40630,869690.39230,47,433244.0684,872144.4548,7.889627443874,98.394397519676,0.1946,24.7934
PKET019,PKET,2020.0519135170007,19,-922365.11450,6250473.42200,869690.39310,47,433244.0704,872144.4534,7.889627430965,98.394397538364,0.2107,24.8095
PKET020,PKET,2020.0546457574378,20,-922365.11370,6250473.42670,869690.39190,47,433244.0690,872144.4516,7.889627414591,98.394397524965,0.2150,24.8138
PKET021,PKET,2020.057377997875,21,-922365.10680,6250473.41860,869690.39250,47,433244.0633,872144.4534,7.889627431161,98.394397473787,0.2062,24.8050
PKET022,PKET,2020.060110238312,22,-922365.11800,6250473.42370,869690.39160,47,433244.0736,872144.4516,7.889627414809,98.394397567513,0.2127,24.8115
PKET023,PKET,2020.0628424787492,23,-922365.12060,6250473.40590,869690.39090,47,433244.0788,872144.4533,7.889627429924,98.394397614403,0.1955,24.7943
PKET024,PKET,2020.065575667881,24,-922365.11700,6250473.42650,869690.39230,47,433244.0723,872144.4520,7.889627417822,98.394397554835,0.2153,24.8142
PKET025,PKET,2020.068306010929,25,-922365.11390,6250473.42440,869690.39150,47,433244.0695,872144.4515,7.889627413797,98.394397529804,0.2127,24.8116
PKET026,PKET,2020.0710382513662,26,-922365.11430,6250473.42850,869690.39150,47,433244.0693,872144.4509,7.889627408690,98.394397527965,0.2168,24.8156
PKET027,PKET,2020.073771440498,27,-922365.12650,6250473.42570,869690.39400,47,433244.0818,872144.4535,7.889627432308,98.394397641121,0.2162,24.8150
PKET028,PKET,2020.0765027322404,28,-922365.11240,6250473.41100,869690.38910,47,433244.0700,872144.4510,7.889627409026,98.394397534087,0.1991,24.7979
PKET029,PKET,2020.0792349726776,29,-922365.12760,6250473.42540,869690.39150,47,433244.0829,872144.4511,7.889627410086,98.394397651387,0.2157,24.8145
PKET030,PKET,2020.0819672131147,30,-922365.11900,6250473.41740,869690.39350,47,433244.0756,872144.4543,7.889627439380,98.394397584825,0.2069,24.8057
PKET031,PKET,2020.0846994535518,31,-922365.11300,6250473.41840,869690.39110,47,433244.0695,872144.4519,7.889627417744,98.394397529673,0.2067,24.8055
PKET032,PKET,2020.0874316939892,32,-922365.12510,6250473.42000,869690.39220,47,433244.0812,872144.4526,7.889627423439,98.394397636108,0.2101,24.8090
PKET033,PKET,2020.0901639344263,33,-922365.11540,6250473.42670,869690.39340,47,433244.0706,872144.4530,7.889627427718,98.394397540216,0.2155,24.8143
PKET034,PKET,2020.0928961748634,34,-922365.11660,6250473.41810,869690.39010,47,433244.0731,872144.4509,7.889627408504,98.394397562367,0.2068,24.8056
PKET035,PKET,2020.0956284153006,35,-922365.12270,6250473.41980,869690.39150,47,433244.0789,872144.4519,7.889627417850,98.394397614841,0.2095,24.8083
PKET036,PKET,2020.0983616044323,36,-922365.11620,6250473.41690,869690.39050,47,433244.0729,872144.4515,7.889627413632,98.394397560367,0.2056,24.8044
PKET037,PKET,2020.1010928961748,37,-922365.12450,6250473.42290,869690.39470,47,433244.0802,872144.4547,7.889627442378,98.394397626886,0.2132,24.8121
PKET038,PKET,2020.1038260853065,38,-922365.12710,6250473.41580,869690.39230,47,433244.0838,872144.4532,7.889627429130,98.394397659610,0.2063,24.8052
PKET039,PKET,2020.1065573770493,39,-922365.10710,6250473.41050,869690.39220,47,433244.0648,872144.4542,7.889627438365,98.394397487201,0.1982,24.7971
PKET040,PKET,2020.1092896174864,40,-922365.12020,6250473.41440,869690.39250,47,433244.0772,872144.4537,7.889627433890,98.394397599562,0.2040,24.8028
PKET041,PKET,2020.1120228066181,41,-922365.11470,6250473.41480,869690.39220,47,433244.0717,872144.4535,7.889627431709,98.394397549690,0.2035,24.8024
PKET042,PKET,2020.1147540983607,42,-922365.12280,6250473.42320,869690.39420,47,433244.0785,872144.4542,7.889627437840,98.394397611237,0.2132,24.8120
PKET043,PKET,2020.1174872874924,43,-922365.12170,6250473.42050,869690.39240,47,433244.0778,872144.4528,7.889627425233,98.394397604943,0.2102,24.8090
PKET044,PKET,2020.120218579235,44,-922365.12010,6250473.42970,869690.38880,47,433244.0748,872144.4480,7.889627381983,98.394397578410,0.2184,24.8173
PKET045,PKET,2020.1229517683666,45,-922365.11070,6250473.42510,869690.38990,47,433244.0662,872144.4499,7.889627399187,98.394397500170,0.2127,24.8116
PKET046,PKET,2020.1256840088038,46,-922365.11970,6250473.40270,869690.38750,47,433244.0784,872144.4504,7.889627403565,98.394397610566,0.1918,24.7906
PKET047,PKET,2020.1284153005465,47,-922365.12970,6250473.42420,869690.39110,47,433244.0851,872144.4508,7.889627407597,98.394397671815,0.2148,24.8136
PKET048,PKET,2020.1311484896783,48,-922365.12300,6250473.41760,869690.39170,47,433244.0795,872144.4524,7.889627422288,98.394397620445,0.2074,24.8062
PKET049,PKET,2020.1338807301154,49,-922365.12670,6250473.42300,869690.39390,47,433244.0824,872144.4538,7.889627434692,98.394397646490,0.2135,24.8124
PKET051,PKET,2020.1393452109896,51,-922365.12180,6250473.42040,869690.39000,47,433244.0779,872144.4504,7.889627403842,98.394397605973,0.2097,24.8086
PKET052,PKET,2020.1420774514268,52,-922365.11990,6250473.40900,869690.38980,47,433244.0777,872144.4518,7.889627416393,98.394397604020,0.1983,24.7971
PKET053,PKET,2020.1448096918639,53,-922365.13440,6250473.42210,869690.39540,47,433244.0901,872144.4552,7.889627447836,98.394397716760,0.2140,24.8128
PKET054,PKET,2020.1475419323012,54,-922365.12520,6250473.41720,869690.39460,47,433244.0817,872144.4553,7.889627448355,98.394397640712,0.2077,24.8066
PKET055,PKET,2020.1502741727384,55,-922365.13550,6250473.41610,869690.39120,47,433244.0921,872144.4519,7.889627417387,98.394397734572,0.2077,24.8065
PKET056,PKET,2020.1530064131755,56,-922365.12220,6250473.41230,869690.39110,47,433244.0795,872144.4526,7.889627423567,98.394397620285,0.2020,24.8008
PKET057,PKET,2020.1557386536126,57,-922365.12480,6250473.40570,869690.38870,47,433244.0830,872144.4510,7.889627409705,98.394397652348,0.1956,24.7944
PKET058,PKET,2020.1584708940497,58,-922365.12910,6250473.41780,869690.39150,47,433244.0855,872144.4521,7.889627419146,98.394397674905,0.2085,24.8073
PKET059,PKET,2020.1612031344869,59,-922365.12940,6250473.41530,869690.38890,47,433244.0861,872144.4498,7.889627398875,98.394397680906,0.2057,24.8045
PKET060,PKET,2020.163935374924,60,-922365.12970,6250473.42210,869690.39190,47,433244.0855,872144.4519,7.889627417340,98.394397674595,0.2128,24.8116
PKET061,PKET,2020.1666676153613,61,-922365.13720,6250473.42250,869690.39120,47,433244.0928,872144.4510,7.889627409221,98.394397741350,0.2142,24.8130
PKET062,PKET,2020.1693998557985,62,-922365.13950,6250473.41850,869690.38880,47,433244.0957,872144.4491,7.889627392220,98.394397767280,0.2103,24.8091
PKET063,PKET,2020.1721320962356,63,-922365.12890,6250473.42040,869690.39140,47,433244.0849,872144.4516,7.889627415095,98.394397669669,0.2110,24.8098
PKET064,PKET,2020.1748643366727,64,-922365.13390,6250473.41790,869690.39180,47,433244.0902,872144.4523,7.889627420841,98.394397717835,0.2093,24.8081
PKET065,PKET,2020.1775965771099,65,-922365.12410,6250473.41820,869690.39430,47,433244.0805,872144.4549,7.889627444639,98.394397629519,0.2085,24.8073
PKET066,PKET,2020.180328817547,66,-922365.13560,6250473.41610,869690.38920,47,433244.0922,872144.4499,7.889627399456,98.394397735469,0.2074,24.8062
PKET067,PKET,2020.1830601092897,67,-922365.13330,6250473.41860,869690.39100,47,433244.0895,872144.4514,7.889627412925,98.394397711525,0.2098,24.8086
PKET068,PKET,2020.1857923497269,68,-922365.13410,6250473.40870,869690.38840,47,433244.0918,872144.4501,7.889627401649,98.394397731809,0.1998,24.7987
PKET069,PKET,2020.1885255388586,69,-922365.12890,6250473.42060,869690.39460,47,433244.0849,872144.4548,7.889627443509,98.394397669404,0.2116,24.8104
PKET070,PKET,2020.1912577792957,70,-922365.12950,6250473.41840,869690.38730,47,433244.0858,872144.4478,7.889627380720,98.394397677699,0.2085,24.8074
PKET071,PKET,2020.1939890710382,71,-922365.13500,6250473.41870,869690.38680,47,433244.0912,872144.4472,7.889627374877,98.394397726644,0.2095,24.8084
PKET072,PKET,2020.19672226017,72,-922365.12700,6250473.40490,869690.38900,47,433244.0853,872144.4514,7.889627412975,98.394397673143,0.1952,24.7940
PKET073,PKET,2020.199454500607,73,-922365.13420,6250473.41290,869690.38910,47,433244.0912,872144.4503,7.889627402743,98.394397727146,0.2041,24.8029
PKET074,PKET,2020.2021867410442,74,-922365.13760,6250473.42480,869690.39350,47,433244.0929,872144.4529,7.889627426924,98.394397741894,0.2168,24.8157
PKET075,PKET,2020.2049189814816,75,-922365.13740,6250473.42000,869690.39210,47,433244.0934,872144.4522,7.889627420315,98.394397746454,0.2119,24.8107
PKET076,PKET,2020.2076512219187,76,-922365.13840,6250473.42740,869690.39270,47,433244.0933,872144.4518,7.889627416422,98.394397745629,0.2194,24.8182
PKET077,PKET,2020.2103834623558,77,-922365.13770,6250473.42090,869690.39180,47,433244.0935,872144.4518,7.889627416469,98.394397747954,0.2128,24.8116
PKET078,PKET,2020.213115702793,78,-922365.12790,6250473.41940,869690.39310,47,433244.0841,872144.4535,7.889627431729,98.394397662022,0.2101,24.8089
PKET079,PKET,2020.21584794323,79,-922365.13560,6250473.41150,869690.38410,47,433244.0928,872144.4455,7.889627359427,98.394397741559,0.2022,24.8010
PKET080,PKET,2020.2185801836672,80,-922365.13480,6250473.43400,869690.39310,47,433244.0888,872144.4513,7.889627412553,98.394397704595,0.2254,24.8242
PKET081,PKET,2020.2213124241043,81,-922365.13390,6250473.41380,869690.39410,47,433244.0908,872144.4551,7.889627446475,98.394397723263,0.2056,24.8044
PKET082,PKET,2020.2240446645417,82,-922365.12860,6250473.41730,869690.39160,47,433244.0851,872144.4523,7.889627420747,98.394397671082,0.2079,24.8067
PKET083,PKET,2020.2267769049788,83,-922365.13830,6250473.40300,869690.38960,47,433244.0967,872144.4520,7.889627418635,98.394397777034,0.1950,24.7939
PKET084,PKET,2020.229509145416,84,-922365.14180,6250473.42520,869690.39160,47,433244.0970,872144.4509,7.889627408655,98.394397779044,0.2176,24.8164
PKET085,PKET,2020.232241385853,85,-922365.12730,6250473.42910,869690.38540,47,433244.0820,872144.4445,7.889627350964,98.394397643797,0.2184,24.8173
PKET086,PKET,2020.2349736262902,86,-922365.12370,6250473.40210,869690.39080,47,433244.0824,872144.4536,7.889627433133,98.394397647245,0.1922,24.7910
PKET087,PKET,2020.2377058667273,87,-922365.13620,6250473.42190,869690.38860,47,433244.0919,872144.4485,7.889627386852,98.394397733173,0.2131,24.8119
PKET088,PKET,2020.2404381071644,88,-922365.14270,6250473.42730,869690.39410,47,433244.0976,872144.4531,7.889627428304,98.394397784338,0.2201,24.8189
PKET089,PKET,2020.2431703476018,89,-922365.13790,6250473.41920,869690.38950,47,433244.0940,872144.4497,7.889627397920,98.394397751999,0.2108,24.8097
PKET090,PKET,2020.245902588039,90,-922365.13200,6250473.41990,869690.38990,47,433244.0880,872144.4501,7.889627401712,98.394397698142,0.2107,24.8095
PKET091,PKET,2020.248634828476,91,-922365.12840,6250473.42460,869690.39090,47,433244.0838,872144.4506,7.889627405550,98.394397659623,0.2149,24.8138
PKET092,PKET,2020.2513670689132,92,-922365.13150,6250473.41910,869690.39230,47,433244.0877,872144.4526,7.889627424280,98.394397694715,0.2102,24.8090
PKET093,PKET,2020.2540993093503,93,-922365.14810,6250473.42300,869690.39130,47,433244.1035,872144.4508,7.889627407528,98.394397838475,0.2163,24.8151
PKET094,PKET,2020.2568315497874,94,-922365.14020,6250473.42380,869690.39000,47,433244.0956,872144.4495,7.889627396333,98.394397766543,0.2157,24.8146
PKET095,PKET,2020.2595637902245,95,-922365.13560,6250473.41260,869690.38940,47,433244.0927,872144.4506,7.889627405545,98.394397740103,0.2040,24.8028
PKET096,PKET,2020.262296030662,96,-922365.13280,6250473.40760,869690.38900,47,433244.0906,872144.4509,7.889627408609,98.394397721602,0.1987,24.7975
PKET097,PKET,2020.2650273224044,97,-922365.13690,6250473.43350,869690.39360,47,433244.0909,872144.4519,7.889627417264,98.394397724096,0.2253,24.8241
PKET098,PKET,2020.2677605115362,98,-922365.13470,6250473.43950,869690.39100,47,433244.0879,872144.4485,7.889627387009,98.394397696416,0.2305,24.8293
PKET099,PKET,2020.2704927519733,99,-922365.14310,6250473.41380,869690.38900,47,433244.0999,872144.4498,7.889627399130,98.394397805798,0.2062,24.8051
PKET100,PKET,2020.2732249924104,100,-922365.12970,6250473.41290,869690.38750,47,433244.0868,872144.4488,7.889627389229,98.394397686775,0.2032,24.8020
PKET101,PKET,2020.2759572328475,101,-922365.12670,6250473.41880,869690.38720,47,433244.0830,872144.4477,7.889627379841,98.394397652050,0.2085,24.8073
PKET102,PKET,2020.2786894732847,102,-922365.13430,6250473.41760,869690.38880,47,433244.0907,872144.4493,7.889627394267,98.394397721821,0.2086,24.8075
PKET103,PKET,2020.281421713722,103,-922365.13810,6250473.41700,869690.38870,47,433244.0945,872144.4492,7.889627393420,98.394397756706,0.2086,24.8074
PKET104,PKET,2020.2841539541591,104,-922365.12820,6250473.42020,869690.39070,47,433244.0842,872144.4510,7.889627409197,98.394397663654,0.2106,24.8094
PKET105,PKET,2020.2868861945963,105,-922365.13350,6250473.43080,869690.39150,47,433244.0879,872144.4502,7.889627402387,98.394397697169,0.2218,24.8207
PKET106,PKET,2020.2896184350334,106,-922365.16000,6250473.43280,869690.39200,47,433244.1139,872144.4499,7.889627399608,98.394397932260,0.2277,24.8265
PKET107,PKET,2020.2923506754705,107,-922365.13270,6250473.42820,869690.39090,47,433244.0875,872144.4500,7.889627400351,98.394397693434,0.2191,24.8179
PKET108,PKET,2020.2950829159076,108,-922365.14090,6250473.42630,869690.39020,47,433244.0959,872144.4494,7.889627394928,98.394397769513,0.2183,24.8171
PKET109,PKET,2020.2978151563448,109,-922365.12930,6250473.43340,869690.38850,47,433244.0834,872144.4470,7.889627373086,98.394397656047,0.2234,24.8222
PKET110,PKET,2020.3005473967821,110,-922365.13630,6250473.41660,869690.38930,47,433244.0928,872144.4499,7.889627399611,98.394397741087,0.2080,24.8069
PKET111,PKET,2020.3032796372192,111,-922365.13500,6250473.42090,869690.38720,47,433244.0909,872144.4473,7.889627375759,98.394397723732,0.2118,24.8106
PKET112,PKET,2020.3060118776564,112,-922365.13960,6250473.42600,869690.38860,47,433244.0947,872144.4479,7.889627381202,98.394397758248,0.2176,24.8164
