id,sta,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI001,THAI,2020.0027331891317,1,-1150486.08080,6080853.91500,1537596.43280,47,685044.8296,1553154.1431,14.043005765019,100.713616601825,-7.2660,22.9918
THAI002,THAI,2020.0054654295689,2,-1150486.08180,6080853.91890,1537596.43550,47,685044.8298,1553154.1448,14.043005779881,100.713616604209,-7.2615,22.9964
THAI003,THAI,2020.008197670006,3,-1150486.03230,6080853.92770,1537596.43400,47,685044.7796,1553154.1431,14.043005767947,100.713616138777,-7.2624,22.9955
THAI004,THAI,2020.0109299104433,4,-1150486.08890,6080853.92390,1537596.43530,47,685044.8359,1553154.1431,14.043005764458,100.713616660190,-7.2555,23.0024
THAI005,THAI,2020.0136621508805,5,-1150486.08610,6080853.92100,1537596.43320,47,685044.8337,1553154.1419,14.043005753436,100.713616639711,-7.2593,22.9986
THAI006,THAI,2020.0163943913176,6,-1150486.08530,6080853.93610,1537596.43790,47,685044.8301,1553154.1429,14.043005762433,100.713616606445,-7.2439,23.0140
THAI007,THAI,2020.0191266317547,7,-1150486.08970,6080853.93140,1537596.43610,47,685044.8353,1553154.1421,14.043005754985,100.713616654560,-7.2480,23.0099
THAI008,THAI,2020.0218588721918,8,-1150486.09200,6080853.94230,1537596.44110,47,685044.8355,1553154.1442,14.043005774399,100.713616656722,-7.2360,23.0219
THAI009,THAI,2020.024591112629,9,-1150486.08900,6080853.93550,1537596.44320,47,685044.8338,1553154.1480,14.043005808689,100.713616641135,-7.2425,23.0154
THAI010,THAI,2020.027323353066,10,-1150486.08450,6080853.93160,1537596.44090,47,685044.8301,1553154.1469,14.043005798761,100.713616606912,-7.2476,23.0103
THAI011,THAI,2020.0300555935034,11,-1150486.08320,6080853.93550,1537596.43340,47,685044.8282,1553154.1387,14.043005725125,100.713616588375,-7.2459,23.0119
THAI012,THAI,2020.0327878339406,12,-1150486.08640,6080853.90650,1537596.42710,47,685044.8367,1553154.1394,14.043005731074,100.713616667395,-7.2745,22.9834
THAI013,THAI,2020.0355200743777,13,-1150486.07330,6080853.93970,1537596.43690,47,685044.8176,1553154.1415,14.043005750800,100.713616491089,-7.2429,23.0150
THAI014,THAI,2020.0382523148148,14,-1150486.08380,6080853.93550,1537596.43700,47,685044.8287,1553154.1422,14.043005756446,100.713616593833,-7.2449,23.0129
THAI015,THAI,2020.040984555252,15,-1150486.08560,6080853.93490,1537596.43930,47,685044.8306,1553154.1445,14.043005777172,100.713616611239,-7.2446,23.0132
THAI016,THAI,2020.043716795689,16,-1150486.09100,6080853.92330,1537596.43770,47,685044.8380,1553154.1455,14.043005785939,100.713616680326,-7.2551,23.0028
THAI017,THAI,2020.0464480874316,17,-1150486.07380,6080853.94220,1537596.44130,47,685044.8176,1553154.1451,14.043005783789,100.713616491334,-7.2393,23.0186
THAI018,THAI,2020.0491812765636,18,-1150486.08930,6080853.93370,1537596.44000,47,685044.8344,1553154.1453,14.043005784388,100.713616646962,-7.2449,23.0129
THAI019,THAI,2020.0519135170007,19,-1150486.08250,6080853.93890,1537596.44080,47,685044.8268,1553154.1451,14.043005782969,100.713616576155,-7.2410,23.0169
THAI020,THAI,2020.0546457574378,20,-1150486.08630,6080853.93520,1537596.43610,47,685044.8312,1553154.1413,14.043005748182,100.713616617091,-7.2450,23.0129
THAI021,THAI,2020.057377997875,21,-1150486.08730,6080853.93600,1537596.43860,47,685044.8321,1553154.1435,14.043005767971,100.713616624810,-7.2435,23.0144
THAI022,THAI,2020.060110238312,22,-1150486.08410,6080853.93680,1537596.43490,47,685044.8288,1553154.1398,14.043005735109,100.713616594324,-7.2442,23.0137
THAI023,THAI,2020.0628424787492,23,-1150486.08160,6080853.94220,1537596.43800,47,685044.8253,1553154.1416,14.043005751674,100.713616562289,-7.2387,23.0192
THAI024,THAI,2020.0655747191863,24,-1150486.09090,6080853.93570,1537596.43840,47,685044.8357,1553154.1432,14.043005765396,100.713616658075,-7.2431,23.0147
THAI025,THAI,2020.068306010929,25,-1150486.08340,6080853.93870,1537596.43720,47,685044.8277,1553154.1416,14.043005751467,100.713616584686,-7.2419,23.0160
THAI026,THAI,2020.0710392000608,26,-1150486.08770,6080853.94890,1537596.44300,47,685044.8300,1553154.1446,14.043005778590,100.713616606247,-7.2300,23.0279
THAI027,THAI,2020.073771440498,27,-1150486.08970,6080853.94680,1537596.44260,47,685044.8324,1553154.1447,14.043005778792,100.713616628055,-7.2318,23.0261
THAI029,THAI,2020.0792359213722,29,-1150486.08660,6080853.93420,1537596.43670,47,685044.8317,1553154.1421,14.043005755476,100.713616621541,-7.2458,23.0121
THAI030,THAI,2020.0819672131147,30,-1150486.09200,6080853.93570,1537596.43830,47,685044.8367,1553154.1431,14.043005764071,100.713616668081,-7.2430,23.0149
THAI031,THAI,2020.0846994535518,31,-1150486.09430,6080853.94010,1537596.43930,47,685044.8382,1553154.1429,14.043005762420,100.713616681431,-7.2381,23.0198
THAI032,THAI,2020.0874326426838,32,-1150486.09190,6080853.93010,1537596.43160,47,685044.8377,1553154.1379,14.043005717432,100.713616676810,-7.2499,23.0079
